Gene,p value Asian,mutation rates
TP53,0.0020686768505332,0.517241379310345
ARID1A,0.0295087053223191,0.103448275862069
EYS,0.0053207910476754,0.103448275862069
ASH1L,0.0438258523062275,0.0862068965517242
CENPE,0.0258224020857598,0.0862068965517242
GOLGB1,0.0023221127638507,0.0862068965517242
ITGAM,2.48522734763715e-08,0.0862068965517242
PREX2,0.0094035646118203,0.0862068965517242
PYHIN1,3.15351864678409e-07,0.0862068965517242
CDCP1,0.0001488307295404,0.0689655172413793
FOXO4,3.96439268150783e-06,0.0689655172413793
HERC6,0.0013215594739007,0.0689655172413793
LAMB4,0.009963058556723,0.0689655172413793
MYH4,0.0013215594739007,0.0689655172413793
POTEA,0.0001488307295404,0.0689655172413793
PRPF8,0.0005003132102279,0.0689655172413793
ROBO1,0.009963058556723,0.0689655172413793
SMARCC2,3.96439268150783e-06,0.0689655172413793
YLPM1,0.0351745510016644,0.0689655172413793
ABCA5,0.0254656855273323,0.0517241379310345
ANO6,0.0254656855273323,0.0517241379310345
CDK11A,0.0254656855273323,0.0517241379310345
CFAP61,0.0425523309169088,0.0517241379310345
COL1A1,0.0254656855273323,0.0517241379310345
COPS3,0.0020019541796202,0.0517241379310345
CPXM1,0.0059273353310034,0.0517241379310345
CYP11B2,0.0059273353310034,0.0517241379310345
DBN1,0.0059273353310034,0.0517241379310345
DPYSL5,0.0059273353310034,0.0517241379310345
EFEMP1,0.0134362690202646,0.0517241379310345
FAM129C,0.0059273353310034,0.0517241379310345
GTDC1,0.0020019541796202,0.0517241379310345
HAND2,0.0134362690202646,0.0517241379310345
ITSN2,0.0254656855273323,0.0517241379310345
MAP10,0.0254656855273323,0.0517241379310345
MARK1,0.0425523309169088,0.0517241379310345
MCM3,4.6595604320758e-05,0.0517241379310345
MROH5,0.0059273353310034,0.0517241379310345
MRPL2,0.0059273353310034,0.0517241379310345
MRPL38,0.0004420670284376,0.0517241379310345
MSL2,4.6595604320758e-05,0.0517241379310345
NARF,0.0004420670284376,0.0517241379310345
NBPF11,0.0254656855273323,0.0517241379310345
NOP58,0.0020019541796202,0.0517241379310345
OR10J3,0.0004420670284376,0.0517241379310345
PHC3,0.0134362690202646,0.0517241379310345
SCAMP3,4.6595604320758e-05,0.0517241379310345
SCP2,0.0425523309169088,0.0517241379310345
SNTA1,1.12852858201017e-06,0.0517241379310345
SSH2,0.0425523309169088,0.0517241379310345
SSX2IP,0.0134362690202646,0.0517241379310345
TRIM42,0.0059273353310034,0.0517241379310345
UACA,0.0425523309169088,0.0517241379310345
VWF,0.0254656855273323,0.0517241379310345
ZC3H11A,0.0425523309169088,0.0517241379310345
ZNF334,0.0059273353310034,0.0517241379310345
ZNF776,0.0020019541796202,0.0517241379310345
AASS,0.027176749778629,0.0344827586206897
ABCA17P,0.0065693216385066,0.0344827586206897
AC126323.1,0.027176749778629,0.0344827586206897
ACTR1A,0.027176749778629,0.0344827586206897
ADAMTS18,0.027176749778629,0.0344827586206897
AGAP9,0.027176749778629,0.0344827586206897
AKAP1,0.027176749778629,0.0344827586206897
ATG4D,0.0065693216385066,0.0344827586206897
C10orf53,0.027176749778629,0.0344827586206897
C16orf82,0.027176749778629,0.0344827586206897
C2orf81,0.0065693216385066,0.0344827586206897
CALML5,0.0004104195653529,0.0344827586206897
CAPRIN1,0.0065693216385066,0.0344827586206897
CCDC89,0.0065693216385066,0.0344827586206897
CCM2,0.027176749778629,0.0344827586206897
CCNT1,0.027176749778629,0.0344827586206897
CD177,0.027176749778629,0.0344827586206897
CD200R1L,0.0065693216385066,0.0344827586206897
CDC123,0.027176749778629,0.0344827586206897
CDV3,0.027176749778629,0.0344827586206897
CEACAM6,0.0004104195653529,0.0344827586206897
CHCHD3,0.027176749778629,0.0344827586206897
CLIC5,0.0065693216385066,0.0344827586206897
COMMD4,0.027176749778629,0.0344827586206897
CSF3,0.0004104195653529,0.0344827586206897
CYP1B1-AS1,0.0065693216385066,0.0344827586206897
DOK1,0.0065693216385066,0.0344827586206897
DPH1,0.0004104195653529,0.0344827586206897
ELL,0.027176749778629,0.0344827586206897
FAM20A,0.027176749778629,0.0344827586206897
FAM20C,0.0004104195653529,0.0344827586206897
FAM96A,0.027176749778629,0.0344827586206897
FERMT2,0.027176749778629,0.0344827586206897
FXN,0.0004104195653529,0.0344827586206897
GGA1,0.027176749778629,0.0344827586206897
GJD2,0.0065693216385066,0.0344827586206897
GLRX2,0.027176749778629,0.0344827586206897
GNB2,0.0065693216385066,0.0344827586206897
GPD1,0.027176749778629,0.0344827586206897
GS1-309P15.2,0.0004104195653529,0.0344827586206897
HAL,0.027176749778629,0.0344827586206897
HOXB13,0.027176749778629,0.0344827586206897
IFT88,0.027176749778629,0.0344827586206897
KIF25,0.027176749778629,0.0344827586206897
KIF9,0.0065693216385066,0.0344827586206897
KLF12,0.0065693216385066,0.0344827586206897
KRT78,0.0004104195653529,0.0344827586206897
LARP6,0.027176749778629,0.0344827586206897
LHX2,0.0065693216385066,0.0344827586206897
LIM2,0.0065693216385066,0.0344827586206897
LINC00299,0.027176749778629,0.0344827586206897
LRIF1,0.027176749778629,0.0344827586206897
LRIG1,0.0065693216385066,0.0344827586206897
MEIS3,0.0065693216385066,0.0344827586206897
MFSD3,0.027176749778629,0.0344827586206897
MRAP2,0.0004104195653529,0.0344827586206897
MYADM,0.027176749778629,0.0344827586206897
NDUFS3,0.0065693216385066,0.0344827586206897
NFIX,0.027176749778629,0.0344827586206897
NSF,0.0065693216385066,0.0344827586206897
NUSAP1,0.0004104195653529,0.0344827586206897
OR1S2,0.0065693216385066,0.0344827586206897
OR4Q3,0.027176749778629,0.0344827586206897
OR52K2,0.027176749778629,0.0344827586206897
PAGE5,0.0065693216385066,0.0344827586206897
PAPD5,0.0065693216385066,0.0344827586206897
PDCL3,0.027176749778629,0.0344827586206897
PENK,0.0065693216385066,0.0344827586206897
PGLYRP2,0.0004104195653529,0.0344827586206897
POFUT1,0.0065693216385066,0.0344827586206897
PRG2,0.0004104195653529,0.0344827586206897
RIBC1,0.0065693216385066,0.0344827586206897
RNF19B,0.0065693216385066,0.0344827586206897
RP11-356C4.3,0.0004104195653529,0.0344827586206897
SGSM3,0.027176749778629,0.0344827586206897
SIGLEC7,0.027176749778629,0.0344827586206897
SLC2A14,0.027176749778629,0.0344827586206897
STK32A,0.027176749778629,0.0344827586206897
TAS2R31,0.0065693216385066,0.0344827586206897
TMEM191A,0.027176749778629,0.0344827586206897
TMEM33,0.0004104195653529,0.0344827586206897
TRAF3,0.0065693216385066,0.0344827586206897
